"Cereal.name","calories","vitamins"
"100%_Bran",70,25
"100%_Natural_Bran",120,0
"All-Bran",70,25
"Almond_Delight",110,25
"Apple_Cinnamon_Cheerios",110,25
"Apple_Jacks",110,25
"Basic_4",130,25
"Bran_Chex",90,25
"Bran_Flakes",90,25
"Cap'n'Crunch",120,25
"Cheerios",110,25
"Cinnamon_Toast_Crunch",120,25
"Clusters",110,25
"Cocoa_Puffs",110,25
"Corn_Chex",110,25
"Corn_Flakes",100,25
"Corn_Pops",110,25
"Count_Chocula",110,25
"Cracklin'_Oat_Bran",110,25
"Crispix",110,25
"Crispy_Wheat_&_Raisins",100,25
"Double_Chex",100,25
"Froot_Loops",110,25
"Frosted_Flakes",110,25
"Frosted_Mini-Wheats",100,25
"Fruit_&_Fibre_Dates,_Walnuts,_and_Oats",120,25
"Fruitful_Bran",120,25
"Fruity_Pebbles",110,25
"Golden_Crisp",100,25
"Golden_Grahams",110,25
"Grape_Nuts_Flakes",100,25
"Grape-Nuts",110,25
"Great_Grains_Pecan",120,25
"Honey_Graham_Ohs",120,25
"Honey_Nut_Cheerios",110,25
"Honey-comb",110,25
"Just_Right_Crunchy__Nuggets",110,100
"Just_Right_Fruit_&_Nut",140,100
"Kix",110,25
"Life",100,25
"Lucky_Charms",110,25
"Maypo",100,25
"Muesli_Raisins,_Dates,_&_Almonds",150,25
"Muesli_Raisins,_Peaches,_&_Pecans",150,25
"Mueslix_Crispy_Blend",160,25
"Multi-Grain_Cheerios",100,25
"Nut&Honey_Crunch",120,25
"Nutri-Grain_Almond-Raisin",140,25
"Nutri-grain_Wheat",90,25
"Oatmeal_Raisin_Crisp",130,25
"Post_Nat._Raisin_Bran",120,25
"Product_19",100,100
"Quaker_Oat_Squares",100,25
"Raisin_Bran",120,25
"Raisin_Nut_Bran",100,25
"Raisin_Squares",90,25
"Rice_Chex",110,25
"Rice_Krispies",110,25
"Smacks",110,25
"Special_K",110,25
"Strawberry_Fruit_Wheats",90,25
"Total_Corn_Flakes",110,100
"Total_Raisin_Bran",140,100
"Total_Whole_Grain",100,100
"Triples",110,25
"Trix",110,25
"Wheat_Chex",100,25
"Wheaties",100,25
"Wheaties_Honey_Gold",110,25
